# High laser noise (HLN): injected common phase noise std. dev. 2 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_2.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 2.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
0,6.390,5.140788,0.088668,0.103931
1,9.585,4.633056,0.671901,0.694076
2,12.781,5.331188,0.821987,0.836824
3,15.959,4.315723,0.825543,0.851619
4,28.692,1.903996,0.904227,0.899094
5,54.140,2.602127,0.759726,0.722505
6,60.546,2.982926,0.540145,0.498439
7,63.741,0.444266,0.436822,0.472188
8,70.116,3.300259,0.109039,0.106863
9,73.280,1.332797,0.096296,0.116305
10,82.832,4.696522,0.300805,0.311184
11,89.160,5.648520,0.917492,0.899425
12,95.550,4.188790,0.527838,0.538655
13,98.743,6.283185,0.649892,0.690036
14,108.281,6.156252,0.911230,0.918967
15,114.623,5.838920,0.909548,0.912419
16,124.129,2.411728,0.495267,0.517632
17,127.324,4.569589,0.918056,0.898059
18,130.519,5.775453,0.185295,0.219031
19,143.268,0.634665,0.902260,0.884248
20,149.674,3.934924,0.773627,0.741009
21,162.422,3.427192,0.910672,0.918118
22,165.617,2.030929,0.737184,0.689539
23,171.992,1.777063,0.861728,0.844945
24,175.173,4.759989,0.896495,0.903245
25,178.351,5.458121,0.359412,0.303667
26,187.872,5.521587,0.852958,0.807088
27,194.278,1.078931,0.594111,0.628241
28,197.473,6.219719,0.187140,0.164431
29,200.652,5.077321,0.587353,0.611281
30,203.834,2.538661,0.116308,0.149024
31,210.205,3.490659,0.513040,0.554440
32,222.954,1.840529,0.099468,0.094994
33,229.328,1.269330,0.092011,0.100757
34,232.512,3.871458,0.339239,0.295340
35,245.241,5.965853,0.414363,0.379591
36,254.777,2.729060,0.570355,0.501359
37,261.152,4.442656,0.879002,0.892484
38,264.347,2.855993,0.107041,0.139020
39,273.900,0.888531,0.174406,0.197941
40,277.064,0.825065,0.570182,0.615654
41,280.275,1.205864,0.767134,0.788423
42,283.519,4.886922,0.164050,0.179714
43,286.713,4.823455,0.915087,0.912744
44,289.896,3.998391,0.859408,0.830961
45,296.282,4.125324,0.609319,0.621424
46,302.624,0.190400,0.265146,0.234315
47,305.835,3.744525,0.146422,0.160758
48,309.046,2.919460,0.916439,0.915313
49,318.600,1.650129,0.461131,0.486856
50,321.811,2.665594,0.477813,0.512979
51,324.974,3.554125,0.649085,0.695300
52,328.154,0.571199,0.404471,0.445578
53,331.349,5.013855,0.485967,0.449061
54,334.516,2.094395,0.197644,0.187734
55,340.854,3.363725,0.333963,0.294095
56,344.066,5.711987,0.882823,0.894406
57,350.440,2.157862,0.877414,0.861283
58,366.464,1.142397,0.229935,0.209944
59,369.658,4.061857,0.904652,0.900422
60,379.276,0.126933,0.119551,0.143079
61,382.439,6.029319,0.913997,0.907140
62,385.619,2.284795,0.461026,0.422941
63,395.140,4.379190,0.128494,0.108151
64,401.514,5.204254,0.915921,0.905328
65,407.888,0.000000,0.900376,0.901033
66,414.249,5.394654,0.656079,0.583272
67,417.426,4.950388,0.275642,0.254236
68,420.589,0.761598,0.090258,0.102517
69,423.754,0.380799,0.632986,0.565124
70,426.963,2.221328,0.856154,0.864716
71,436.550,1.586663,0.733142,0.767221
72,446.118,5.267721,0.292985,0.346061
73,449.297,0.063467,0.819921,0.839558
74,458.823,3.681058,0.606375,0.547799
75,465.160,2.348261,0.813382,0.819829
76,471.519,1.967462,0.722515,0.748979
77,474.714,0.253866,0.922273,0.918971
78,481.073,5.902386,0.744732,0.708896
79,487.429,0.698132,0.086900,0.082254
80,490.609,3.173326,0.871690,0.887880
81,493.804,2.792527,0.359134,0.328679
82,500.226,1.396263,0.119756,0.094220
83,503.406,1.459730,0.365109,0.393931
84,506.601,6.092786,0.880269,0.885640
85,509.812,2.475194,0.901195,0.887870
86,513.023,0.507732,0.421926,0.462036
87,519.365,3.617592,0.219458,0.258803
88,522.544,0.951998,0.086967,0.099178
89,528.935,3.109859,0.489891,0.533365
90,538.488,3.807991,0.747527,0.761476
91,544.835,1.015464,0.250593,0.285023
92,548.010,3.236792,0.891989,0.894576
93,551.188,3.046393,0.238598,0.263999
94,557.531,1.713596,0.211426,0.177995
95,570.279,5.585054,0.079557,0.089735
96,576.670,4.252257,0.719743,0.754581
97,589.498,1.523196,0.231822,0.193292
98,595.873,4.506123,0.177295,0.190687
99,630.971,0.317333,0.827268,0.860846
100,637.329,1.840529,0.867416,0.883900
101,640.508,4.442656,0.327036,0.364872
102,643.688,0.000000,0.187401,0.155149
103,650.050,6.156252,0.105339,0.120124
104,656.420,4.061857,0.602790,0.539628
105,666.006,4.379190,0.249734,0.214733
106,672.396,1.713596,0.211028,0.253059
107,675.591,1.903996,0.913839,0.906506
108,678.786,3.300259,0.089168,0.102480
109,685.128,1.396263,0.929300,0.920130
110,688.308,5.838920,0.748647,0.712036
111,701.040,3.236792,0.156281,0.151793
112,707.366,3.046393,0.909190,0.897145
113,710.560,3.934924,0.754552,0.718522
114,720.147,5.458121,0.457243,0.510507
115,723.357,4.569589,0.176022,0.183279
116,729.715,3.173326,0.435250,0.485964
117,745.661,1.269330,0.750123,0.752926
118,748.838,6.283185,0.899032,0.903816
119,758.439,4.823455,0.140779,0.170179
120,764.782,5.521587,0.906722,0.901515
121,767.961,4.886922,0.149646,0.164308
122,771.140,4.252257,0.868948,0.838490
123,787.084,3.681058,0.917613,0.903992
124,793.442,5.394654,0.135581,0.182431
125,802.995,5.013855,0.139827,0.151526
126,809.354,1.078931,0.331696,0.299849
127,812.549,0.444266,0.120326,0.091233
128,815.776,3.109859,0.907624,0.883849
129,819.003,5.331188,0.530960,0.468595
130,825.329,2.348261,0.322976,0.358302
131,847.679,4.759989,0.603038,0.652516
132,850.858,2.729060,0.108886,0.093390
133,854.024,2.538661,0.383772,0.359196
134,860.395,2.157862,0.214658,0.169491
135,869.949,6.029319,0.083209,0.079307
136,873.144,0.761598,0.691139,0.652063
137,879.502,0.253866,0.443721,0.392831
138,882.653,2.665594,0.249043,0.296907
139,885.812,0.190400,0.570009,0.578860
140,888.991,1.650129,0.110109,0.101215
141,892.155,5.077321,0.900305,0.905835
142,895.334,2.919460,0.283643,0.242116
143,898.530,2.094395,0.728761,0.695630
144,901.708,5.204254,0.236836,0.200540
145,914.441,2.855993,0.800878,0.762520
146,936.760,1.586663,0.881229,0.888437
147,939.954,4.696522,0.124068,0.123243
148,946.312,1.777063,0.914136,0.925043
149,952.703,5.711987,0.380711,0.415383
150,971.825,3.744525,0.092057,0.086631
151,978.183,0.126933,0.544339,0.583354
152,984.558,4.188790,0.690406,0.715881
153,990.900,3.427192,0.214968,0.193373
154,994.063,1.142397,0.559160,0.595146
155,997.242,0.317333,0.225588,0.196162
156,1003.601,5.965853,0.913702,0.903569
157,1013.186,6.092786,0.738001,0.772888
158,1019.592,1.332797,0.870104,0.880998
159,1022.756,4.506123,0.088804,0.091899
160,1025.935,4.950388,0.090299,0.099341
161,1038.731,1.967462,0.267966,0.298200
162,1045.105,2.221328,0.623445,0.571715
163,1051.433,5.648520,0.169316,0.155971
164,1057.758,5.585054,0.531109,0.496856
165,1060.939,5.775453,0.445288,0.395293
