# Low laser noise (LLN): injected common phase noise std. dev. 0 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_0.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 0.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
0,0.000,4.950388,0.084711,0.080917
1,3.178,5.077321,0.089187,0.104078
2,19.138,0.253866,0.930808,0.906428
3,22.317,3.871458,0.708275,0.646063
4,25.480,0.000000,0.891305,0.884731
5,31.886,2.602127,0.484523,0.524615
6,35.082,2.665594,0.563920,0.620028
7,38.245,3.998391,0.639278,0.598146
8,41.424,0.063467,0.911042,0.916305
9,44.603,2.348261,0.287323,0.337489
10,47.766,3.744525,0.772405,0.743181
11,50.965,3.236792,0.896602,0.917225
12,57.371,6.029319,0.753033,0.787226
13,66.936,3.490659,0.897663,0.879570
14,76.442,5.902386,0.664680,0.701795
15,79.636,2.030929,0.148268,0.191324
16,85.995,2.982926,0.751583,0.773467
17,92.353,4.442656,0.266107,0.219325
18,101.940,3.934924,0.703356,0.639301
19,105.118,4.569589,0.221999,0.200927
20,111.445,6.156252,0.786718,0.807182
21,117.770,5.585054,0.361272,0.397534
22,120.935,2.284795,0.277276,0.318462
23,133.698,3.363725,0.900294,0.898979
24,136.894,5.140788,0.132838,0.151277
25,140.073,1.777063,0.085771,0.085843
26,146.495,5.775453,0.468871,0.523726
27,152.853,4.633056,0.148759,0.138306
28,156.048,4.759989,0.107499,0.097546
29,159.243,0.571199,0.819492,0.780689
30,168.814,0.317333,0.909523,0.890784
31,181.514,5.331188,0.192627,0.217953
32,184.693,6.219719,0.862414,0.871190
33,191.069,0.825065,0.639377,0.609158
34,207.010,3.554125,0.871938,0.844849
35,213.369,3.046393,0.777760,0.808028
36,216.548,1.015464,0.478054,0.429830
37,219.775,1.396263,0.227498,0.186497
38,226.149,2.919460,0.703196,0.735789
39,235.687,3.109859,0.863014,0.887160
40,238.866,0.761598,0.737700,0.712631
41,242.061,0.444266,0.892286,0.870036
42,248.420,1.078931,0.513418,0.494583
43,251.582,0.888531,0.587643,0.546949
44,257.973,2.538661,0.515351,0.535245
45,267.526,4.061857,0.554603,0.496293
46,270.722,4.252257,0.404520,0.363965
