# AEDGE characteristic-strain sensitivity curve (lower boundary of the AEDGE region), digitised from GW_exclusion_plot.svg
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel, colour #6685d9.
# Shapes: the AEDGE region has one translucent fill (path506-2) and two #6685d9 strokes plus a 2-point lead-in:
#   path507-1 - 2-point dashed lead-in continuing path508-0 leftwards past the frame edge (clipped at f = 1e-6 Hz here).
#   path508-0 - DASHED curve over the whole band, 1e-6 Hz -> 3.39 Hz (689 segments). The fill's lower edge follows it exactly.
#               Below 0.01 Hz this is the only AEDGE curve (broadband-mode sensitivity, incl. the two upward spikes near
#               3e-3 and 6e-3 Hz, presumably response nulls of the broadband interferometer; kept).
#   path509-9 - SOLID curve from 0.0100 Hz to 3.39 Hz (1091 segments), starting on path508-0 and ending on the same point.
#               It is the same curve as path508-0 over that range but at ~2.7x the vertex density: it resolves the saw-tooth
#               staircase of the resonant-mode envelope, which path508-0 undersamples (in places cuts straight chords across it).
#               Difference solid - dashed: rms 0.016 dex, max 0.09 dex, all attributable to that undersampling.
# Built: path507-1 (reversed, clipped at the frame) + path508-0 for f < 0.0100 Hz, then path509-9 for f >= 0.0100 Hz
#   (joins continuously: the two strokes agree to 1e-3 px at the junction). Band limits: left end is the frame clip
#   (curve continues below 1e-6 Hz); right end at 3.39 Hz is where the plot's author ended the curve (fill closes vertically there).
# Calibration (top-left panel; svgelements page coords in px, y down):
#   log10(f/Hz) = -6 + (x - 102.2)/28.065 ;  log10(h_c) = -15 - (y - 50.24)/18.258
# Decimation: exact polyline vertices (no curve fitting) -> 300 points uniform in log10 f plus the Ramer-Douglas-Peucker
#   vertices at 0.002 dex tolerance (keeps spike tips and staircase corners), linearly interpolated in log-log.
#   Max perpendicular deviation from the full polyline: 0.0017 dex. Digitisation accuracy ~0.01 dex in both axes.
# Caveat: spacing is only roughly uniform (extra points cluster at spikes/steps); linear interpolation in log-log is exact.
f_Hz,h_c
1.000000e-06,2.199253e-16
1.051573e-06,2.039452e-16
1.105805e-06,1.891262e-16
1.162835e-06,1.753840e-16
1.222805e-06,1.626206e-16
1.285869e-06,1.507764e-16
1.352184e-06,1.397949e-16
1.421920e-06,1.296133e-16
1.495253e-06,1.201731e-16
1.572367e-06,1.114206e-16
1.653458e-06,1.033055e-16
1.738732e-06,9.578893e-17
1.828403e-06,8.882864e-17
1.922698e-06,8.237410e-17
2.021857e-06,7.638857e-17
2.126130e-06,7.083797e-17
2.235780e-06,6.569068e-17
2.351086e-06,6.091741e-17
2.472338e-06,5.649492e-17
2.599843e-06,5.239523e-17
2.733924e-06,4.859304e-17
2.874920e-06,4.506676e-17
3.023187e-06,4.179638e-17
3.179101e-06,3.876332e-17
3.343056e-06,3.595036e-17
3.515467e-06,3.334080e-17
3.696769e-06,3.091942e-17
3.887422e-06,2.867389e-17
4.087907e-06,2.659144e-17
4.298732e-06,2.466023e-17
4.520429e-06,2.286928e-17
4.753560e-06,2.120839e-17
4.998714e-06,1.966853e-17
5.256511e-06,1.824080e-17
5.527604e-06,1.691671e-17
5.812678e-06,1.568874e-17
6.112454e-06,1.454990e-17
6.427690e-06,1.349373e-17
6.759183e-06,1.251423e-17
7.107773e-06,1.160763e-17
7.474340e-06,1.076704e-17
7.859812e-06,9.987329e-18
8.265164e-06,9.264079e-18
8.691422e-06,8.593205e-18
9.139662e-06,7.970913e-18
9.611020e-06,7.393686e-18
1.010669e-05,6.858666e-18
1.062792e-05,6.362653e-18
1.117603e-05,5.902512e-18
1.175241e-05,5.475647e-18
1.235851e-05,5.079653e-18
1.299587e-05,4.712297e-18
1.366610e-05,4.371507e-18
1.437090e-05,4.056252e-18
1.511205e-05,3.763960e-18
1.589142e-05,3.492731e-18
1.671098e-05,3.241046e-18
1.757281e-05,3.007497e-18
1.847909e-05,2.790778e-18
1.943211e-05,2.589676e-18
1.999366e-05,2.482247e-18
