# AEDGE+ characteristic-strain sensitivity curve (lower boundary of the AEDGE+ region), digitised from GW_exclusion_plot.svg
# NOTE: this is AEDGE+ (#5d9ec7), NOT AEDGE. Produced as a by-product of the AEDGE extraction with the identical method.
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel, colour #5d9ec7.
# Shapes: fill path510-2; strokes path511-5 (2-point dashed lead-in, entirely left of the frame, unused after clipping),
#   path512-2 (DASHED, whole band; the fill's lower edge follows it exactly) and path513-1 (SOLID, 0.0100 Hz -> 3.39 Hz,
#   same curve as path512-2 there at ~2x the vertex density; solid - dashed max 0.008 dex).
# Built: path512-2 clipped at the frame edge (f = 1e-6 Hz) for f < 0.0100 Hz, then path513-1 for f >= 0.0100 Hz.
#   Upward spikes near 3e-3 and 6e-3 Hz (presumably broadband response nulls) kept. Left end = frame clip; right end 3.39 Hz = curve end.
# Calibration (top-left panel; svgelements page coords in px, y down):
#   log10(f/Hz) = -6 + (x - 102.2)/28.065 ;  log10(h_c) = -15 - (y - 50.24)/18.258
# Decimation: 300 points uniform in log10 f plus Ramer-Douglas-Peucker vertices at 0.002 dex tolerance, linear in log-log.
#   Max perpendicular deviation from the full polyline: 0.0020 dex. Digitisation accuracy ~0.01 dex.
f_Hz,h_c
1.000000e-06,1.340680e-17
1.047724e-06,1.039366e-17
1.051573e-06,1.037083e-17
1.072278e-06,1.026295e-17
1.105805e-06,1.022207e-17
1.123125e-06,1.019931e-17
1.149125e-06,1.003008e-17
1.162835e-06,9.682290e-18
1.210185e-06,8.457534e-18
1.222805e-06,8.118533e-18
1.285869e-06,6.662702e-18
1.288528e-06,6.613600e-18
1.352184e-06,5.935946e-18
1.379333e-06,5.673223e-18
1.421920e-06,5.595961e-18
1.495253e-06,5.491121e-18
1.545368e-06,5.419849e-18
1.563153e-06,5.319072e-18
1.572367e-06,5.252770e-18
1.644950e-06,4.663193e-18
1.653458e-06,4.591593e-18
1.738732e-06,3.875127e-18
1.775926e-06,3.634408e-18
1.828403e-06,3.383015e-18
1.922698e-06,2.970647e-18
1.953657e-06,2.869591e-18
2.021857e-06,2.702807e-18
2.126130e-06,2.458826e-18
2.235780e-06,2.240304e-18
2.351086e-06,2.054268e-18
2.352086e-06,2.053053e-18
2.472338e-06,1.940207e-18
2.599843e-06,1.828883e-18
2.733924e-06,1.725036e-18
2.872164e-06,1.629205e-18
2.874920e-06,1.627646e-18
3.023187e-06,1.547963e-18
3.179101e-06,1.472180e-18
3.343056e-06,1.400108e-18
3.471208e-06,1.348807e-18
3.515467e-06,1.333227e-18
3.696769e-06,1.273628e-18
3.887422e-06,1.218453e-18
4.087907e-06,1.166422e-18
4.298732e-06,1.118872e-18
4.520429e-06,1.073398e-18
4.753560e-06,1.029773e-18
4.868412e-06,1.009686e-18
4.998714e-06,9.897044e-19
5.256511e-06,9.527478e-19
5.527604e-06,9.171713e-19
5.812678e-06,8.829233e-19
6.112454e-06,8.499541e-19
6.427690e-06,8.182160e-19
6.759183e-06,7.876630e-19
7.107773e-06,7.592832e-19
7.474340e-06,7.321272e-19
7.859812e-06,7.059424e-19
8.265164e-06,6.806942e-19
8.691422e-06,6.563490e-19
9.139662e-06,6.328745e-19
9.611020e-06,6.102395e-19
9.824067e-06,6.006259e-19
1.010669e-05,5.886904e-19
1.062792e-05,5.681083e-19
1.117603e-05,5.482459e-19
1.175241e-05,5.290779e-19
1.235851e-05,5.105800e-19
1.299587e-05,4.927289e-19
1.366610e-05,4.755019e-19
1.437090e-05,4.590857e-19
1.511205e-05,4.432921e-19
1.589142e-05,4.280419e-19
1.671098e-05,4.133163e-19
1.757281e-05,3.990972e-19
1.847909e-05,3.853674e-19
1.943211e-05,3.721099e-19
1.999366e-05,3.648027e-19
2.043428e-05,3.593423e-19
2.148813e-05,3.470555e-19
2.259633e-05,3.351888e-19
2.376169e-05,3.237279e-19
2.498714e-05,3.126589e-19
2.627580e-05,3.019683e-19
2.763091e-05,2.916433e-19
2.905591e-05,2.816812e-19
3.055441e-05,2.720933e-19
3.213018e-05,2.628317e-19
3.378722e-05,2.538854e-19
3.552972e-05,2.452436e-19
3.736209e-05,2.368960e-19
3.928895e-05,2.288325e-19
4.131519e-05,2.210467e-19
