# Einstein Telescope (ET) sensitivity, characteristic strain h_c vs frequency
# source: GW_exclusion_plot.svg (qsim_visit project), top-left panel, colour #ffbf00
# shape: stroke outline path517-7 (all 684 raw path vertices; matches lower edge of fill path516-5 exactly)
# calibration (page coords, y down): log10(f/Hz) = -6 + (x - 102.2)/28.065 ; log10(h_c) = -15 - (y - 50.24)/18.258
# decimation: 321 points uniform in log f (linear interp in log-log, exact since path segments are straight),
#   plus raw vertices added until the piecewise-log-log-linear reconstruction is within 0.01 dex of the raw curve
# caveats: curve data begin at f = 1 Hz (h_c ~ 1.0e-16) - the drawn curve stops there; the fill's vertical left edge
#   above that point is just the polygon closure, not data. Upper end f = 1e4 Hz is the plot frame (right clip),
#   so the curve may continue beyond it. Digitisation precision ~0.002 dex (sub-0.05-unit vertex coords).
f_Hz,h_c
1.00006,1.00971e-16
1.01709,1.07245e-16
1.02926,1.07544e-16
1.05932,9.47946e-17
1.07031,8.70521e-17
1.07615,1.06443e-16
1.07939,9.37488e-17
1.08233,7.95523e-17
1.09025,7.46204e-17
1.10407,6.31831e-17
1.12208,4.6007e-17
1.13239,3.56038e-17
1.15485,1.85753e-17
1.18857,7.52184e-18
1.21295,4.21372e-18
1.22328,3.48033e-18
1.259,1.98081e-18
1.27393,1.66936e-18
1.29576,1.46908e-18
1.31769,1.4839e-18
1.32562,1.57948e-18
1.3336,1.76456e-18
1.33798,1.96241e-18
1.342,2.28745e-18
1.35858,5.0473e-18
1.36266,5.65439e-18
1.36676,5.5439e-18
1.37115,4.45493e-18
1.37254,3.86369e-18
1.37527,2.92051e-18
1.3794,1.56969e-18
1.38355,1.0059e-18
1.38809,8.46105e-19
1.39226,6.48706e-19
1.39645,5.25887e-19
1.41262,2.78756e-19
1.43117,1.52306e-19
1.45386,8.18787e-20
1.47424,4.95544e-20
1.49632,3.04318e-20
1.54001,1.24866e-20
1.58498,5.52902e-21
1.63126,2.6466e-21
1.65759,1.84062e-21
1.67889,1.43757e-21
1.72792,9.54445e-22
1.77837,7.36391e-22
1.8303,6.23242e-22
1.88374,5.52672e-22
1.93875,4.94878e-22
1.99536,4.45851e-22
2.05363,4.02462e-22
2.11359,3.63519e-22
2.17531,3.2885e-22
2.23883,2.97693e-22
2.3042,2.69449e-22
2.37148,2.44212e-22
2.44073,2.21359e-22
2.512,2.00645e-22
2.58535,1.82118e-22
2.66084,1.65483e-22
2.73854,1.50368e-22
2.81851,1.36633e-22
2.90081,1.24153e-22
2.98551,1.12812e-22
3.07269,1.02606e-22
3.16241,9.36021e-23
3.25475,8.53887e-23
3.34979,7.7896e-23
3.44761,7.10607e-23
3.54828,6.48253e-23
3.65189,5.9137e-23
3.75852,5.4045e-23
3.86827,4.95238e-23
3.98122,4.53808e-23
4.09748,4.15843e-23
4.21712,3.81055e-23
4.34026,3.49177e-23
4.467,3.19966e-23
4.59743,2.94096e-23
4.73168,2.70691e-23
4.86984,2.49147e-23
5.01204,2.29319e-23
5.1584,2.11068e-23
5.30902,1.9427e-23
5.46405,1.7906e-23
5.6236,1.65482e-23
5.7878,1.53275e-23
5.95681,1.42093e-23
6.13075,1.32214e-23
6.30977,1.23607e-23
6.49401,1.16313e-23
6.68364,1.10218e-23
6.8788,1.05439e-23
7.07966,1.019e-23
7.28639,9.94399e-24
7.49915,9.78718e-24
7.71812,9.70391e-24
7.94349,9.67532e-24
8.17544,9.69764e-24
8.41417,9.75463e-24
8.65986,9.84268e-24
8.91273,9.96046e-24
9.17298,1.00947e-23
9.44083,1.02484e-23
9.71651,1.04172e-23
10.0002,1.05928e-23
10.2922,1.07764e-23
10.5928,1.09606e-23
10.9021,1.11477e-23
11.2204,1.13265e-23
11.5481,1.1503e-23
11.8853,1.16732e-23
12.2323,1.18376e-23
12.5895,1.19897e-23
12.9571,1.21258e-23
13.3355,1.22532e-23
13.7249,1.23666e-23
14.1256,1.24698e-23
14.5381,1.25908e-23
14.7542,1.26141e-23
14.7986,1.3551e-23
14.8918,2.23755e-23
14.9365,2.56709e-23
14.9626,2.35616e-23
14.9814,2.21511e-23
15.0758,1.32976e-23
15.1211,1.28269e-23
15.3995,1.26725e-23
15.8492,1.26561e-23
16.312,1.26465e-23
16.7883,1.26245e-23
17.2785,1.2578e-23
17.783,1.25192e-23
18.3023,1.24408e-23
18.8367,1.23476e-23
19.3868,1.22436e-23
19.9529,1.21494e-23
20.5355,1.21329e-23
20.8568,1.25238e-23
20.9764,1.35045e-23
21.1351,2.34954e-23
21.1543,2.5075e-23
21.2119,2.582e-23
21.2757,2.2402e-23
21.3918,1.28104e-23
21.4516,1.21872e-23
21.7523,1.18942e-23
22.3874,1.17107e-23
23.0411,1.16579e-23
23.7139,1.16764e-23
24.4064,1.17672e-23
25.1191,1.19377e-23
25.8525,1.2192e-23
26.6074,1.25255e-23
27.3844,1.2912e-23
28.184,1.33502e-23
29.007,1.38065e-23
29.854,1.42569e-23
30.7257,1.46646e-23
31.6229,1.50005e-23
32.5463,1.52414e-23
33.4966,1.53703e-23
34.4747,1.53907e-23
35.4814,1.53098e-23
36.5175,1.51423e-23
37.5838,1.49137e-23
38.6812,1.46405e-23
39.8107,1.43414e-23
40.9732,1.40379e-23
42.1696,1.37286e-23
43.401,1.34269e-23
44.6683,1.31483e-23
45.9726,1.2882e-23
47.315,1.26361e-23
48.6966,1.24135e-23
50.1185,1.2212e-23
51.582,1.20352e-23
53.0882,1.18766e-23
54.6384,1.17352e-23
56.2338,1.16143e-23
57.8758,1.15105e-23
59.5658,1.14196e-23
61.3051,1.13471e-23
63.0953,1.12848e-23
64.9376,1.12345e-23
66.8338,1.11934e-23
68.7854,1.11674e-23
70.7939,1.11468e-23
72.8611,1.11336e-23
74.9886,1.11289e-23
77.1783,1.11289e-23
79.4319,1.11371e-23
81.7513,1.11495e-23
84.1385,1.11659e-23
86.5953,1.11885e-23
89.1239,1.1217e-23
91.7263,1.12452e-23
94.4047,1.12837e-23
97.1614,1.13223e-23
99.9985,1.13627e-23
102.918,1.14075e-23
105.924,1.14564e-23
109.017,1.15056e-23
112.2,1.15577e-23
115.476,1.16171e-23
118.848,1.16775e-23
122.318,1.17415e-23
125.89,1.18079e-23
129.566,1.18758e-23
133.349,1.19459e-23
137.243,1.2022e-23
141.251,1.21014e-23
