# Recovery of a sinusoidal phase imprinted by a light shift, one run per injected frequency
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0), Fig. 5a
# Sources: data_analysis/data/intermediate_data/signal_fitting_results_by_frequency.csv (final iteration), and data_analysis/data/precomputed_true_signals/signal_extraction_*.npz, reduced as 'data_analysis/figures/Figure 5a.ipynb' does
# Columns: injected_hz, the run's nominal frequency; curve, 'fit' for the likelihood of a sinusoid fitted to the differential phase
#   (logL above its minimum) or 'true' for the periodogram of the light-shift drive; f_hz, trial frequency; value, normalised to unit peak
injected_hz,curve,f_hz,value
0.0001,fit,7e-05,0.0606523
0.0001,fit,7.004338956268438e-05,0.0614212
0.0001,fit,7.008680602042816e-05,0.0621861
0.0001,fit,7.013024938990201e-05,0.0629466
0.0001,fit,7.017371968778733e-05,0.0637021
0.0001,fit,7.021721693077572e-05,0.0644522
0.0001,fit,7.026074113556928e-05,0.0651965
0.0001,fit,7.030429231888001e-05,0.0659344
0.0001,fit,7.034787049743071e-05,0.0666655
0.0001,fit,7.039147568795442e-05,0.0673893
0.0001,fit,7.043510790719467e-05,0.0681054
0.0001,fit,7.047876717190493e-05,0.0688133
0.0001,fit,7.052245349884952e-05,0.0695126
0.0001,fit,7.0566166904803e-05,0.0702027
0.0001,fit,7.060990740655043e-05,0.0708832
0.0001,fit,7.06536750208869e-05,0.0715536
0.0001,fit,7.069746976461831e-05,0.0722136
0.0001,fit,7.0741291654561e-05,0.0728626
0.0001,fit,7.078514070754125e-05,0.0735002
0.0001,fit,7.082901694039625e-05,0.0741259
0.0001,fit,7.08729203699735e-05,0.0747394
0.0001,fit,7.091685101313101e-05,0.0753401
0.0001,fit,7.096080888673689e-05,0.0759277
0.0001,fit,7.100479400767009e-05,0.0765018
0.0001,fit,7.104880639281988e-05,0.0770618
0.0001,fit,7.109284605908617e-05,0.0776075
0.0001,fit,7.113691302337888e-05,0.0781383
0.0001,fit,7.118100730261887e-05,0.078654
0.0001,fit,7.122512891373735e-05,0.0791541
0.0001,fit,7.126927787367612e-05,0.0796382
0.0001,fit,7.13134541993871e-05,0.0801059
0.0001,fit,7.135765790783313e-05,0.080557
0.0001,fit,7.140188901598743e-05,0.0809909
0.0001,fit,7.144614754083386e-05,0.0814075
0.0001,fit,7.149043349936642e-05,0.0818063
0.0001,fit,7.153474690859003e-05,0.082187
0.0001,fit,7.157908778552017e-05,0.0825493
0.0001,fit,7.162345614718243e-05,0.0828929
0.0001,fit,7.166785201061342e-05,0.0832175
0.0001,fit,7.17122753928601e-05,0.0835227
0.0001,fit,7.175672631098019e-05,0.0838084
0.0001,fit,7.180120478204154e-05,0.0840742
0.0001,fit,7.1845710823123e-05,0.0843199
0.0001,fit,7.189024445131389e-05,0.0845452
0.0001,fit,7.193480568371424e-05,0.0847499
0.0001,fit,7.197939453743424e-05,0.0849338
0.0001,fit,7.202401102959515e-05,0.0850967
0.0001,fit,7.206865517732869e-05,0.0852383
0.0001,fit,7.211332699777732e-05,0.0853586
0.0001,fit,7.215802650809372e-05,0.0854572
0.0001,fit,7.220275372544161e-05,0.0855341
0.0001,fit,7.224750866699537e-05,0.0855891
0.0001,fit,7.229229134993958e-05,0.0856221
0.0001,fit,7.233710179146993e-05,0.085633
0.0001,fit,7.238194000879258e-05,0.0856215
0.0001,fit,7.242680601912455e-05,0.0855878
0.0001,fit,7.247169983969304e-05,0.0855316
0.0001,fit,7.25166214877364e-05,0.0854529
0.0001,fit,7.256157098050355e-05,0.0853516
0.0001,fit,7.260654833525419e-05,0.0852278
0.0001,fit,7.265155356925828e-05,0.0850813
0.0001,fit,7.269658669979699e-05,0.0849123
0.0001,fit,7.274164774416198e-05,0.0847206
0.0001,fit,7.278673671965583e-05,0.0845062
0.0001,fit,7.283185364359136e-05,0.0842694
0.0001,fit,7.287699853329259e-05,0.0840099
0.0001,fit,7.292217140609428e-05,0.083728
0.0001,fit,7.296737227934148e-05,0.0834238
0.0001,fit,7.301260117039044e-05,0.0830972
0.0001,fit,7.305785809660803e-05,0.0827484
0.0001,fit,7.310314307537199e-05,0.0823775
0.0001,fit,7.314845612407045e-05,0.0819846
0.0001,fit,7.319379726010273e-05,0.0815699
0.0001,fit,7.323916650087878e-05,0.0811336
0.0001,fit,7.32845638638195e-05,0.0806758
0.0001,fit,7.332998936635614e-05,0.0801967
0.0001,fit,7.33754430259312e-05,0.0796965
0.0001,fit,7.342092485999786e-05,0.0791754
0.0001,fit,7.346643488602024e-05,0.0786337
0.0001,fit,7.351197312147286e-05,0.0780716
0.0001,fit,7.35575395838415e-05,0.0774894
0.0001,fit,7.360313429062264e-05,0.0768872
0.0001,fit,7.364875725932377e-05,0.0762655
0.0001,fit,7.369440850746274e-05,0.0756245
0.0001,fit,7.374008805256876e-05,0.0749646
0.0001,fit,7.378579591218186e-05,0.074286
0.0001,fit,7.383153210385253e-05,0.0735891
