# AION-km characteristic-strain sensitivity curve (solid purple #a5609d)
# Source: GW_exclusion_plot.svg, top-left panel, stroke path id 'path521-7' (fill companion 'path520-0').
#   Identified as AION-km from its label (outlined glyphs path536-7/537-6/538-9 read 'AION-km', sitting on this line)
#   and from the fifth panel, which shows only this purple curve, labelled AION-km.
#   The other purple curve (dashed, 'path523-6') is the GGN (gravity-gradient-noise) variant labelled 'GGN'; not included here.
# Calibration (svgelements page units, y down): log10(f/Hz) = -6 + (x-102.2)/28.065 ; log10(h_c) = -15 - (y-50.24)/18.258
# Caveats: endpoints are where the line meets the plot frame (top edge at low f, right edge near 1e4 Hz), not physical ends of the curve.
#   The source is a polyline of 154 vertices; resampled to 301 points uniform in log f by linear interpolation in log-log
#   (exact for the polyline; max deviation 3.2e-03 dex). Accuracy is set by the tick-mark calibration above.
f_Hz,h_c
1.496451e-06,3.163574e-15
1.613794e-06,2.824797e-15
1.740338e-06,2.522299e-15
1.876804e-06,2.252195e-15
2.023972e-06,2.011015e-15
2.182680e-06,1.795615e-15
2.353832e-06,1.603182e-15
2.538406e-06,1.431371e-15
2.737452e-06,1.277973e-15
2.952107e-06,1.141014e-15
3.183593e-06,1.018733e-15
3.433231e-06,9.095570e-16
3.702445e-06,8.121133e-16
3.992768e-06,7.253043e-16
4.305857e-06,6.477745e-16
4.643497e-06,5.785320e-16
5.007612e-06,5.166911e-16
5.400278e-06,4.614606e-16
5.823736e-06,4.121338e-16
6.280398e-06,3.680680e-16
6.772869e-06,3.286231e-16
7.303957e-06,2.934054e-16
7.876689e-06,2.619618e-16
8.494332e-06,2.338880e-16
9.160406e-06,2.088228e-16
9.878710e-06,1.864438e-16
1.065334e-05,1.664758e-16
1.148871e-05,1.486556e-16
1.238959e-05,1.327430e-16
1.336110e-05,1.185337e-16
1.440880e-05,1.058454e-16
1.553865e-05,9.451531e-17
1.675710e-05,8.439804e-17
1.807109e-05,7.536666e-17
1.948812e-05,6.730493e-17
2.101626e-05,6.010555e-17
2.266422e-05,5.367626e-17
2.444142e-05,4.793469e-17
2.635797e-05,4.280727e-17
2.842480e-05,3.822832e-17
3.065370e-05,3.413354e-17
3.305738e-05,3.047617e-17
3.564954e-05,2.721068e-17
3.844496e-05,2.429509e-17
4.145958e-05,2.169190e-17
4.471060e-05,1.936764e-17
4.821653e-05,1.729291e-17
5.199738e-05,1.544142e-17
5.607470e-05,1.378816e-17
6.047174e-05,1.231191e-17
6.521358e-05,1.099371e-17
7.032723e-05,9.816654e-18
7.584187e-05,8.765619e-18
8.178893e-05,7.827218e-18
8.820233e-05,6.989554e-18
9.511863e-05,6.241537e-18
1.025773e-04,5.573572e-18
1.106207e-04,4.977092e-18
1.192950e-04,4.444447e-18
1.286494e-04,3.968805e-18
1.387373e-04,3.543971e-18
1.496162e-04,3.164571e-18
1.613482e-04,2.825788e-18
1.740002e-04,2.523273e-18
1.876442e-04,2.253144e-18
2.023581e-04,2.011933e-18
2.182258e-04,1.796546e-18
2.353378e-04,1.604287e-18
2.537916e-04,1.432660e-18
2.736924e-04,1.279393e-18
2.951537e-04,1.142523e-18
3.182979e-04,1.020296e-18
3.432569e-04,9.111441e-19
3.701730e-04,8.136696e-19
3.991998e-04,7.266397e-19
4.305026e-04,6.489322e-19
4.642600e-04,5.795348e-19
5.006645e-04,5.175588e-19
5.399236e-04,4.622106e-19
5.822612e-04,4.127813e-19
6.279186e-04,3.686381e-19
6.771562e-04,3.292199e-19
7.302547e-04,2.940166e-19
7.875169e-04,2.625776e-19
8.492692e-04,2.345004e-19
9.158638e-04,2.094254e-19
9.876803e-04,1.870317e-19
1.065128e-03,1.670325e-19
1.148649e-03,1.491239e-19
1.238719e-03,1.331308e-19
1.335852e-03,1.188528e-19
1.440602e-03,1.061061e-19
1.553565e-03,9.472651e-20
1.675386e-03,8.456732e-20
1.806760e-03,7.550111e-20
1.948435e-03,6.741443e-20
2.101220e-03,6.019388e-20
2.265985e-03,5.374671e-20
2.443670e-03,4.799007e-20
2.635288e-03,4.285001e-20
2.841931e-03,3.826048e-20
3.064778e-03,3.416316e-20
3.305100e-03,3.050891e-20
3.564266e-03,2.724553e-20
3.843754e-03,2.433122e-20
4.145158e-03,2.172864e-20
4.470197e-03,1.940444e-20
4.820723e-03,1.732885e-20
5.198735e-03,1.547597e-20
5.606388e-03,1.382822e-20
6.046007e-03,1.235592e-20
6.520099e-03,1.104037e-20
7.031366e-03,9.864890e-21
7.582723e-03,8.814565e-21
8.177315e-03,7.876068e-21
8.818531e-03,7.040731e-21
9.510027e-03,6.296696e-21
1.025575e-02,5.631288e-21
1.105994e-02,5.036197e-21
1.192719e-02,4.503993e-21
1.286245e-02,4.028030e-21
1.387105e-02,3.602365e-21
1.495873e-02,3.225364e-21
1.613171e-02,2.892828e-21
1.739666e-02,2.594577e-21
1.876080e-02,2.327075e-21
2.023191e-02,2.087153e-21
2.181837e-02,1.871967e-21
2.352924e-02,1.678967e-21
2.537426e-02,1.510661e-21
2.736396e-02,1.361182e-21
2.950967e-02,1.227796e-21
3.182364e-02,1.109452e-21
3.431906e-02,1.003992e-21
3.701016e-02,9.118645e-22
3.991227e-02,8.286900e-22
4.304195e-02,7.568478e-22
4.641704e-02,6.930205e-22
5.005679e-02,6.379825e-22
5.398194e-02,5.902191e-22
5.821488e-02,5.492385e-22
6.277974e-02,5.143495e-22
6.770255e-02,4.865701e-22
7.301138e-02,4.643288e-22
7.873649e-02,4.490049e-22
8.491053e-02,4.401577e-22
8.914655e-02,4.388768e-22
9.156871e-02,4.400225e-22
9.874897e-02,4.487633e-22
1.064923e-01,4.663512e-22
1.148428e-01,4.840967e-22
1.238480e-01,5.022555e-22
1.335595e-01,5.217684e-22
1.440324e-01,5.422049e-22
1.553265e-01,5.629921e-22
1.675063e-01,5.845754e-22
1.806411e-01,6.069862e-22
