# LIGO (aLIGO design-style) characteristic-strain sensitivity curve, digitised from GW_exclusion_plot.svg
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel; solid #c56e1a stroke path id="path519-3"
#   (shapes.pkl idx 1504). Cross-check: the bottom LIGO-only panel's stroke "path519-3-7-4-1-7" (idx 2054) is an exact
#   translation (+13.507, +926.118) of it, and that panel's frame, tick marks and tick-label glyphs are translated by the
#   same offset, so it gives identical values.
# Calibration (page coords, y down): log10(f/Hz) = -6 + (x - 102.2)/28.065 ; log10(h_c) = -15 - (y - 50.24)/18.258
# Method: the stroke is a 387-vertex polyline in log-log page space, strictly monotonic in f and lying wholly inside the
#   frame (no clipping). All vertices are written as-is (exact; linear interpolation in log-log reproduces the plotted
#   curve). The translucent fill path518-9 (idx 1503) only adds vertical closing edges at 5 Hz / 5 kHz and the frame-top
#   clip, which are not included.
# Caveats: vertex spacing is not uniform in log f (denser where the curve bends). Includes the narrow suspension
#   (bounce-mode) spike at ~9.7 Hz, reaching h_c ~1.7e-19. 5 Hz and 5 kHz are the band limits of the plotted curve.
#   Calibration accuracy ~0.01 plot units -> <0.001 dex in both axes.
f_Hz,h_c
5.000168e+00,1.118451e-19
5.011345e+00,1.092018e-19
5.020795e+00,1.066210e-19
5.042914e+00,1.016954e-19
5.085670e+00,9.250646e-20
5.172272e+00,7.664298e-20
5.351419e+00,5.301273e-20
5.725747e+00,2.595992e-20
5.739747e+00,2.534911e-20
5.752175e+00,2.476065e-20
5.779129e+00,2.361678e-20
5.832601e+00,2.150126e-20
5.940207e+00,1.785811e-20
6.162700e+00,1.239863e-20
6.176475e+00,1.212640e-20
6.191577e+00,1.185505e-20
6.220155e+00,1.133531e-20
6.276395e+00,1.036764e-20
6.393972e+00,8.698208e-21
6.633461e+00,6.179913e-21
6.647824e+00,6.061751e-21
6.660825e+00,5.943299e-21
6.689702e+00,5.718810e-21
6.748303e+00,5.296655e-21
6.865134e+00,4.557197e-21
7.103411e+00,3.426080e-21
7.118792e+00,3.367789e-21
7.134207e+00,3.311555e-21
7.165636e+00,3.201201e-21
7.226389e+00,2.997505e-21
7.351497e+00,2.641172e-21
7.415895e+00,2.486410e-21
7.478771e+00,2.346749e-21
7.608247e+00,2.104693e-21
7.624722e+00,2.077556e-21
7.641765e+00,2.052309e-21
7.672753e+00,2.002302e-21
7.737806e+00,1.910416e-21
7.754561e+00,1.889022e-21
7.769726e+00,1.867668e-21
7.803410e+00,1.827444e-21
7.869571e+00,1.752582e-21
7.884961e+00,1.735002e-21
7.902034e+00,1.718335e-21
7.936846e+00,1.686203e-21
8.001904e+00,1.626520e-21
8.036596e+00,1.599532e-21
8.069748e+00,1.574343e-21
8.138166e+00,1.528751e-21
8.207165e+00,1.489582e-21
8.224936e+00,1.480821e-21
8.241021e+00,1.472270e-21
8.276749e+00,1.456251e-21
8.294671e+00,1.448929e-21
8.310892e+00,1.442262e-21
8.328888e+00,1.435626e-21
8.346923e+00,1.429634e-21
8.363246e+00,1.423666e-21
8.381355e+00,1.418332e-21
8.417691e+00,1.408327e-21
8.434153e+00,1.404105e-21
8.452416e+00,1.400044e-21
8.470718e+00,1.396445e-21
8.486691e+00,1.393602e-21
8.505661e+00,1.390616e-21
8.524079e+00,1.388381e-21
8.542536e+00,1.386595e-21
8.559242e+00,1.385406e-21
8.577775e+00,1.384218e-21
8.596349e+00,1.383772e-21
8.631811e+00,1.383772e-21
8.669233e+00,1.386000e-21
8.685580e+00,1.387785e-21
8.723844e+00,1.393602e-21
8.745174e+00,1.397644e-21
8.764111e+00,1.402449e-21
8.783701e+00,1.408327e-21
8.805178e+00,1.414231e-21
8.824244e+00,1.421378e-21
8.845820e+00,1.429634e-21
8.864974e+00,1.438709e-21
8.906514e+00,1.459378e-21
8.925799e+00,1.471638e-21
8.945127e+00,1.485275e-21
8.967624e+00,1.500164e-21
8.987042e+00,1.516665e-21
9.028523e+00,1.554044e-21
9.048073e+00,1.575694e-21
9.070829e+00,1.599532e-21
9.090471e+00,1.625299e-21
9.110155e+00,1.653430e-21
9.132430e+00,1.684215e-21
9.152205e+00,1.718335e-21
9.195090e+00,1.797123e-21
9.215001e+00,1.842796e-21
9.237532e+00,1.892267e-21
9.258180e+00,1.948491e-21
9.278228e+00,2.010695e-21
9.300914e+00,2.079116e-21
9.321053e+00,2.156332e-21
9.364730e+00,2.341971e-21
9.385008e+00,2.453298e-21
9.405329e+00,2.583181e-21
9.428326e+00,2.728999e-21
9.449401e+00,2.902283e-21
9.472506e+00,3.108496e-21
9.493017e+00,3.346545e-21
9.513572e+00,3.638940e-21
9.536834e+00,4.007278e-21
9.558151e+00,4.449494e-21
9.578848e+00,5.041139e-21
9.602269e+00,5.866668e-21
9.623061e+00,6.899523e-21
9.643898e+00,8.546550e-21
9.668153e+00,1.184489e-20
9.689088e+00,1.119396e-20
9.712778e+00,6.492539e-20
9.733810e+00,1.744378e-19
9.755567e+00,1.079789e-19
9.779421e+00,1.035874e-20
9.800596e+00,7.334476e-21
9.821818e+00,7.687245e-21
9.845833e+00,6.203155e-21
9.867841e+00,5.158735e-21
9.891969e+00,4.401556e-21
