# LISA characteristic-strain sensitivity curve, digitised from GW_exclusion_plot.svg
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel, stroke path id="path515-4"
#   (solid #8fb032 outline; the translucent fill path514-5 was not used - its extra edges are the frame clip at the top
#   and vertical closing edges at the band limits).
# Calibration (page coords, y down): log10(f/Hz) = -6 + (x - 102.2)/28.065 ; log10(h_c) = -15 - (y - 50.24)/18.258
# Method: the stroke is a 919-vertex polyline in log-log page space, monotonic in f; linearly interpolated (exact for a
#   polyline) onto 400 points uniform in log10 f, plus the minimum vertex.
# Caveats: curve spans 2e-5 Hz to 1 Hz exactly - these are band limits chosen by the plot's author (curve is still
#   rising steeply at both ends), not a physical end of LISA's sensitivity. Digitisation accuracy ~0.01 dex in both axes.
f_Hz,h_c
2.000482e-05,3.923710e-17
2.055471e-05,3.668184e-17
2.111971e-05,3.426136e-17
2.170025e-05,3.202501e-17
2.229674e-05,2.993387e-17
2.290963e-05,2.797118e-17
2.353936e-05,2.613719e-17
2.418641e-05,2.442344e-17
2.485124e-05,2.282289e-17
2.553435e-05,2.133104e-17
2.623623e-05,1.993670e-17
2.695741e-05,1.863351e-17
2.769840e-05,1.741550e-17
2.845977e-05,1.627711e-17
2.924207e-05,1.521313e-17
3.004587e-05,1.421870e-17
3.087176e-05,1.328927e-17
3.172036e-05,1.242179e-17
3.259228e-05,1.161146e-17
3.348817e-05,1.085399e-17
3.440869e-05,1.014594e-17
3.535451e-05,9.484071e-18
3.632633e-05,8.865382e-18
3.732486e-05,8.287052e-18
3.835083e-05,7.746450e-18
3.940501e-05,7.241762e-18
4.048817e-05,6.770158e-18
4.160110e-05,6.329266e-18
4.274462e-05,5.917086e-18
4.391958e-05,5.531749e-18
4.512683e-05,5.171506e-18
4.636727e-05,4.834722e-18
4.764180e-05,4.519872e-18
4.895137e-05,4.226849e-18
5.029694e-05,3.952852e-18
5.167949e-05,3.696615e-18
5.310004e-05,3.456989e-18
5.455964e-05,3.232896e-18
5.605937e-05,3.023330e-18
5.760032e-05,2.827348e-18
5.918362e-05,2.644071e-18
6.081045e-05,2.473547e-18
6.248200e-05,2.314701e-18
6.419949e-05,2.166056e-18
6.596419e-05,2.026956e-18
6.777740e-05,1.896790e-18
6.964045e-05,1.774982e-18
7.155471e-05,1.660996e-18
7.352159e-05,1.554331e-18
7.554254e-05,1.455477e-18
7.761904e-05,1.363345e-18
7.975262e-05,1.277044e-18
8.194484e-05,1.196207e-18
8.419732e-05,1.120486e-18
8.651172e-05,1.049559e-18
8.888974e-05,9.831217e-19
9.133312e-05,9.208897e-19
9.384366e-05,8.628600e-19
9.642322e-05,8.098574e-19
9.907368e-05,7.601106e-19
1.017970e-04,7.134195e-19
1.045952e-04,6.695966e-19
1.074703e-04,6.284655e-19
1.104244e-04,5.898609e-19
1.134597e-04,5.536278e-19
1.165785e-04,5.196203e-19
1.197829e-04,4.889406e-19
1.230755e-04,4.604023e-19
1.264586e-04,4.335297e-19
1.299347e-04,4.082255e-19
1.335063e-04,3.843983e-19
1.371761e-04,3.619619e-19
1.409467e-04,3.408350e-19
1.448211e-04,3.209413e-19
1.488019e-04,3.037343e-19
1.528921e-04,2.874941e-19
1.570948e-04,2.721222e-19
